participant_id,mean_lang_fc,IFG_STG_left,IFG_STG_right
sub-pp128,0.45812288,0.85428536,0.5448514
sub-pp145,0.6624058,0.8230433,0.8215773
sub-pp009,0.47932586,0.60403,0.5522806
sub-pp006,0.6682736,1.1164528,0.6942059
sub-pp010,0.6125103,0.88957787,1.1240001
sub-pp116,0.15104002,0.17644778,-0.1020726
sub-pp021,0.5419051,1.1779594,0.89665914
sub-pp170,0.5710271,0.8206705,0.6910327
sub-pp099,0.65112597,0.9657396,1.1796743
sub-pp072,0.5723925,0.6767035,0.8212944
sub-pp105,0.6912553,0.5576767,1.053605
sub-pp171,0.71701944,0.89142853,1.00074
sub-pp045,0.34689605,0.5750976,0.6722177
sub-pp020,0.22988033,0.701338,0.48619843
sub-pp074,0.3792864,0.63517714,-0.019888973
sub-pp013,0.83400977,0.8238467,0.82351357
sub-pp035,0.33352184,0.68984145,1.0328703
sub-pp030,0.19097362,0.33113816,0.14343776
sub-pp033,0.6923,0.96896785,0.87777036
sub-pp023,0.82251996,0.9512888,1.290627
sub-pp164,0.722808,1.3256395,1.1894262
sub-pp042,0.13214603,0.14151384,0.0121820355
sub-pp106,0.26875082,0.5125565,0.34546033
sub-pp092,0.3411462,0.41258574,0.64673364
sub-pp150,0.5841929,0.6341235,0.74405783
sub-pp112,0.7494369,0.8981284,1.1061047
sub-pp025,0.25555798,0.43332607,0.3601926
sub-pp032,0.4996254,0.5867109,0.2580159
sub-pp155,0.3629225,0.11088218,0.43900824
sub-pp052,0.36591357,0.5412618,0.19983405
sub-pp019,0.641852,1.0774746,0.78249687
sub-pp162,0.25543767,0.059341438,0.33819795
sub-pp093,0.46105078,1.0518084,0.4716523
sub-pp048,0.49100158,1.1664491,0.5945435
sub-pp031,0.2213706,0.026811406,0.3968117
sub-pp053,0.5871654,0.9732317,0.8655317
sub-pp110,0.70285684,1.3372711,1.1807605
sub-pp026,0.4044663,0.4074478,0.38652605
sub-pp129,0.4204141,0.24826458,0.688414
sub-pp036,0.58712894,0.81638587,0.8337106
sub-pp083,0.60611445,0.6179365,0.86650157
sub-pp027,0.87759227,1.093472,0.9004868
sub-pp005,1.0965667,1.4273849,1.7080317
sub-pp091,0.43085006,0.4750356,0.57734144
sub-pp077,0.41467765,0.30396158,0.42814028
sub-pp046,0.95511144,1.2255878,1.2346556
sub-pp012,0.38773787,0.39703396,0.5805327
sub-pp127,0.2268053,0.18183239,0.3641385
sub-pp044,0.604386,0.7597104,0.5533893
sub-pp003,0.21240176,0.2286168,0.30495378
sub-pp133,0.36846513,0.7771841,0.8187689
