sub,t1,rest,dwi,alice
sub-pp128,True,True,True,True
sub-pp145,True,True,True,True
sub-pp009,True,True,True,False
sub-pp006,True,True,True,False
sub-pp010,True,True,True,False
sub-pp116,True,True,True,True
sub-pp021,True,True,True,True
sub-pp170,True,True,True,True
sub-pp099,True,True,True,True
sub-pp072,True,True,True,True
sub-pp105,True,True,True,True
sub-pp171,True,True,True,True
sub-pp045,True,True,True,True
sub-pp020,True,True,True,True
sub-pp074,True,True,True,True
sub-pp013,True,True,True,True
sub-pp035,True,True,True,True
sub-pp030,True,True,True,True
sub-pp033,True,True,True,True
sub-pp023,True,True,True,True
sub-pp164,True,True,True,True
sub-pp042,True,True,True,True
sub-pp106,True,True,True,True
sub-pp092,True,True,True,True
sub-pp150,True,True,True,True
sub-pp112,True,True,True,True
sub-pp025,True,True,True,True
sub-pp032,True,True,True,True
sub-pp155,True,True,True,False
sub-pp052,True,True,True,True
sub-pp019,True,True,True,True
sub-pp162,True,True,True,False
sub-pp093,True,True,True,True
sub-pp048,True,True,True,True
sub-pp031,True,True,True,True
sub-pp053,True,True,True,True
sub-pp110,True,True,True,True
sub-pp026,True,True,True,True
sub-pp129,True,True,True,True
sub-pp036,True,True,True,True
sub-pp083,True,True,True,True
sub-pp027,True,True,True,True
sub-pp005,True,True,True,False
sub-pp091,True,True,True,True
sub-pp077,True,True,True,True
sub-pp046,True,True,True,True
sub-pp012,True,True,True,True
sub-pp127,True,True,True,True
sub-pp044,True,True,True,True
sub-pp003,True,True,True,False
sub-pp133,True,True,True,True
